Indexcd,Trddt,Opnindex,Hiindex,Loindex,Clsindex,Retindex
000001,2017/5/22,3087.171,3103.938,3063.153,3075.676,-0.004839
000001,2017/5/23,3069.394,3084.235,3050.842,3061.947,-0.004464
000001,2017/5/24,3047.568,3064.813,3022.303,3064.076,0.000695
000001,2017/5/25,3055.343,3114.658,3052.831,3107.831,0.01428
000001,2017/5/26,3101.286,3120.663,3100.388,3110.059,0.000717
000001,2017/5/31,3125.325,3143.279,3111.556,3117.178,0.002289
000001,2017/6/1,3108.421,3113.521,3097.679,3102.623,-0.004669
000001,2017/6/2,3094.225,3110.389,3081.849,3105.54,0.00094
000001,2017/6/5,3102.11,3105.506,3084.83,3091.656,-0.004471
000001,2017/6/6,3084.54,3102.863,3078.787,3102.126,0.003387
000001,2017/6/7,3101.761,3140.774,3098.951,3140.325,0.012314
000001,2017/6/8,3136.47,3153.264,3132.828,3150.334,0.003187
000001,2017/6/9,3147.453,3165.92,3146.108,3158.4,0.00256
000001,2017/6/12,3149.527,3164.95,3135.314,3139.877,-0.005865
000001,2017/6/13,3134.009,3155.99,3131.043,3153.743,0.004416
000001,2017/6/14,3146.748,3149.173,3125.355,3130.674,-0.007315
000001,2017/6/15,3125.586,3137.585,3117.084,3132.486,0.000579
000001,2017/6/16,3126.373,3134.251,3117.857,3123.166,-0.002975
000001,2017/6/19,3122.158,3146.77,3121.779,3144.374,0.006791
000001,2017/6/20,3148.019,3150.465,3134.611,3140.014,-0.001387
000001,2017/6/21,3148.986,3157.028,3132.617,3156.212,0.005159
000001,2017/6/22,3152.242,3186.982,3146.643,3147.453,-0.002775
000001,2017/6/23,3138.444,3158.047,3118.095,3157.873,0.003311
000001,2017/6/26,3157.002,3187.889,3156.977,3185.444,0.008731
000001,2017/6/27,3183.42,3193.461,3172.463,3191.197,0.001806
000001,2017/6/28,3183.633,3193.44,3170.786,3173.201,-0.005639
000001,2017/6/29,3174.981,3188.774,3174.284,3188.063,0.004684
000001,2017/6/30,3176.948,3193.241,3171.57,3192.427,0.001369
000001,2017/7/3,3191.998,3196.286,3177.024,3195.912,0.001092
000001,2017/7/4,3192.889,3193.064,3174.314,3182.804,-0.004101
000001,2017/7/5,3179.217,3207.309,3174.708,3207.134,0.007644
000001,2017/7/6,3203.863,3215.95,3188.773,3212.444,0.001656
000001,2017/7/7,3203.823,3219.523,3195.291,3217.957,0.001716
000001,2017/7/10,3208.463,3223.34,3203.209,3212.632,-0.001655
000001,2017/7/11,3201.517,3226.908,3199.224,3203.037,-0.002987
000001,2017/7/12,3201.929,3215.196,3177.935,3197.544,-0.001715
000001,2017/7/13,3192.361,3219.268,3190.339,3218.163,0.006448
000001,2017/7/14,3212.032,3222.978,3204.853,3222.417,0.001322
000001,2017/7/17,3219.791,3230.354,3139.503,3176.465,-0.01426
000001,2017/7/18,3159.732,3187.671,3150.128,3187.567,0.003495
000001,2017/7/19,3181.401,3232.941,3179.73,3230.976,0.013618
000001,2017/7/20,3227.506,3246.236,3225.433,3244.865,0.004299
000001,2017/7/21,3236.588,3247.712,3231.956,3237.982,-0.002121
000001,2017/7/24,3230.898,3261.105,3230.07,3250.599,0.003897
000001,2017/7/25,3249.138,3261.645,3233.138,3243.689,-0.002126
000001,2017/7/26,3244.461,3264.848,3228.039,3247.675,0.001229
000001,2017/7/27,3243.765,3251.926,3220.637,3249.781,0.000648
000001,2017/7/28,3240.173,3256.371,3232.963,3253.24,0.001064
000001,2017/7/31,3252.752,3276.946,3251.194,3273.028,0.006083
000001,2017/8/1,3274.369,3292.638,3273.504,3292.638,0.005991
000001,2017/8/2,3288.518,3305.431,3282.038,3285.057,-0.002302
000001,2017/8/3,3279.986,3293.369,3262.155,3272.929,-0.003692
000001,2017/8/4,3269.318,3287.193,3261.307,3262.081,-0.003314
000001,2017/8/7,3257.67,3280.104,3243.715,3279.457,0.005327
